"Source:","E:\synth prj\MSK-013\complexvco.kicad_sch"
"Date:","14.10.2022 17:26:25"
"Tool:","Eeschema (6.0.6)"
"Generator:","E:\KICAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","284"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Voltage"
"","","R92","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R93","680","mskala:RUS","mskala:R4valmsk","",""
"","","R94","680","mskala:RUS","mskala:R4valmsk","",""
"","","R95","680","mskala:RUS","mskala:R4valmsk","",""
"","","R96","680","mskala:RUS","mskala:R4valmsk","",""
"","","R97","680","mskala:RUS","mskala:R4valmsk","",""
"","","R98","680","mskala:RUS","mskala:R4valmsk","",""
"","","R99","680","mskala:RUS","mskala:R4valmsk","",""
"","","R100","680","mskala:RUS","mskala:R4valmsk","",""
"","","R101","680","mskala:RUS","mskala:R4valmsk","",""
"","","R102","680","mskala:RUS","mskala:R4valmsk","",""
"","","R103","680","mskala:RUS","mskala:R4valmsk","",""
"","","R104","680","mskala:RUS","mskala:R4valmsk","",""
"","","R105","680","mskala:RUS","mskala:R4valmsk","",""
"","","R106","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R107","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R108","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R109","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R110","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R111","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R112","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R113","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R114","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R115","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R116","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R117","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R118","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R119","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R120","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R121","27k","mskala:RUS","mskala:R4valmsk","",""
"","","R122","22k","mskala:RUS","mskala:R4valmsk","",""
"","","R123","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R124","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R125","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R126","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R127","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R128","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R129","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R130","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R131","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R132","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R133","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R134","1k","mskala:RUS","mskala:R4valmsk","",""
"","","R135","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R136","18k","mskala:RUS","mskala:R4valmsk","",""
"","","R137","39k","mskala:RUS","mskala:R4valmsk","",""
